City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
216,Pipri,IN,2021-08-13 01:23:13,19.8,75.5333,73.04,82,100,9.15
217,Pavilosta,LV,2021-08-13 01:23:14,56.8879,21.1859,64.35,85,4,10.51
218,Pisco,PE,2021-08-13 01:23:14,-13.7,-76.2167,61.02,82,0,9.22
219,Bandarbeyla,SO,2021-08-13 01:23:14,9.4942,50.8122,74.79,86,58,22.62
220,Roald,NO,2021-08-13 01:23:15,62.5833,6.1333,64.17,94,20,6.91
221,Bilibino,RU,2021-08-13 01:23:15,68.0546,166.4372,66.81,40,99,8.1
222,Samarai,PG,2021-08-13 01:23:12,-10.6167,150.6667,79.02,85,97,15.97
223,Kirakira,SB,2021-08-13 01:23:16,-10.4544,161.9205,79.25,86,97,10.94
224,Kokemaki,FI,2021-08-13 01:23:16,61.2565,22.3564,58.78,92,100,3.13
225,Clyde River,CA,2021-08-13 01:23:17,70.4692,-68.5914,37.63,100,90,13.8
226,Saurimo,AO,2021-08-13 01:23:17,-9.6608,20.3916,60.19,24,0,3.85
227,Hasaki,JP,2021-08-13 01:23:17,35.7333,140.8333,73.8,92,100,1.1
228,Zyryanovsk,KZ,2021-08-13 01:23:18,49.7386,84.2719,58.87,84,100,5.79
229,Bubaque,GW,2021-08-13 01:23:18,11.2833,-15.8333,79.77,78,82,7.52
230,Cukai,MY,2021-08-13 01:20:54,4.25,103.4167,82.54,77,60,5.99
231,Northam,GB,2021-08-13 01:23:19,51.0333,-4.2167,61.66,93,100,13.42
232,Namibe,AO,2021-08-13 01:23:01,-15.1961,12.1522,61.34,88,0,6.76
233,Turochak,RU,2021-08-13 01:23:19,52.2576,87.1224,59.49,94,100,0.98
234,Oudtshoorn,ZA,2021-08-13 01:23:19,-33.5907,22.2014,41.36,90,98,4.09
235,Kaura Namoda,NG,2021-08-13 01:23:20,12.5898,6.5779,71.62,96,100,3.91
236,Jensen Beach,US,2021-08-13 01:23:20,27.2545,-80.2298,84.25,77,40,11.01
237,Wuwei,CN,2021-08-13 01:23:21,37.9281,102.6414,74.95,33,0,0.74
238,Tuktoyaktuk,CA,2021-08-13 01:23:21,69.4541,-133.0374,48.2,87,90,10.36
239,Faanui,PF,2021-08-13 01:23:21,-16.4833,-151.75,78.96,66,6,14.14
240,Vao,NC,2021-08-13 01:23:22,-22.6667,167.4833,67.8,66,77,16.46
241,Shenjiamen,CN,2021-08-13 01:23:22,29.9576,122.298,78.8,89,98,5.39
242,Victoria,HK,2021-08-13 01:20:56,22.2855,114.1577,88.97,82,83,1.01
